match_id,date,season,venue,toss_winner,toss_decision,match_won_by,win_outcome,result_type,team1,team2,first_innings_runs,second_innings_runs,first_innings_wickets,second_innings_wickets,win_by_runs,win_by_wickets
335982,2008-04-18,2008,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,Kolkata Knight Riders,140 runs,,Kolkata Knight Riders,Royal Challengers Bengaluru,222,82,3,10,140,0
335983,2008-04-19,2008,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,Chennai Super Kings,33 runs,,Chennai Super Kings,Punjab Kings,240,207,5,4,33,0
335984,2008-04-19,2008,Arun Jaitley Stadium,Rajasthan Royals,bat,Delhi Capitals,9 wickets,,Rajasthan Royals,Delhi Capitals,129,132,8,1,0,9
335985,2008-04-20,2008,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bengaluru,5 wickets,,Mumbai Indians,Royal Challengers Bengaluru,165,166,7,5,0,5
335986,2008-04-20,2008,Eden Gardens,Sunrisers Hyderabad,bat,Kolkata Knight Riders,5 wickets,,Sunrisers Hyderabad,Kolkata Knight Riders,110,112,10,5,0,5
335987,2008-04-21,2008,Sawai Mansingh Stadium,Punjab Kings,bat,Rajasthan Royals,6 wickets,,Punjab Kings,Rajasthan Royals,166,168,8,4,0,6
335988,2008-04-22,2008,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,9 wickets,,Sunrisers Hyderabad,Delhi Capitals,142,143,8,1,0,9
335989,2008-04-23,2008,MA Chidambaram Stadium,Mumbai Indians,field,Chennai Super Kings,6 runs,,Chennai Super Kings,Mumbai Indians,208,202,5,7,6,0
335990,2008-04-24,2008,Rajiv Gandhi International Stadium,Rajasthan Royals,field,Rajasthan Royals,3 wickets,,Sunrisers Hyderabad,Rajasthan Royals,214,217,5,7,0,3
335991,2008-04-25,2008,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians,field,Punjab Kings,66 runs,,Punjab Kings,Mumbai Indians,182,116,10,9,66,0
335992,2008-04-26,2008,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,7 wickets,,Royal Challengers Bengaluru,Rajasthan Royals,135,138,8,3,0,7
335993,2008-04-26,2008,MA Chidambaram Stadium,Kolkata Knight Riders,bat,Chennai Super Kings,9 wickets,,Kolkata Knight Riders,Chennai Super Kings,147,152,9,1,0,9
335994,2008-04-27,2008,Dr DY Patil Sports Academy,Sunrisers Hyderabad,field,Sunrisers Hyderabad,10 wickets,,Mumbai Indians,Sunrisers Hyderabad,154,155,7,0,0,10
335995,2008-04-27,2008,Punjab Cricket Association IS Bindra Stadium,Delhi Capitals,bat,Punjab Kings,4 wickets,,Delhi Capitals,Punjab Kings,158,162,8,6,0,4
335996,2008-04-28,2008,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,13 runs,,Chennai Super Kings,Royal Challengers Bengaluru,178,165,5,10,13,0
