match_id,date,season,venue,toss_winner,toss_decision,match_won_by,win_outcome,result_type,team1,team2,first_innings_runs,second_innings_runs,first_innings_wickets,second_innings_wickets,win_by_runs,win_by_wickets,total_runs,total_wickets,run_diff,cluster
335982,2008-04-18,2007,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,140 runs,,Kolkata Knight Riders,Royal Challengers Bangalore,222,82,3,10,140,0,304,13,140,2
335983,2008-04-19,2007,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,33 runs,,Chennai Super Kings,Kings XI Punjab,240,207,5,4,33,0,447,9,33,3
335984,2008-04-19,2007,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,9 wickets,,Rajasthan Royals,Delhi Daredevils,129,132,8,1,0,9,261,9,3,0
335985,2008-04-20,2007,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,5 wickets,,Mumbai Indians,Royal Challengers Bangalore,165,166,7,5,0,5,331,12,1,1
335986,2008-04-20,2007,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,5 wickets,,Deccan Chargers,Kolkata Knight Riders,110,112,10,5,0,5,222,15,2,0
335987,2008-04-21,2007,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,6 wickets,,Kings XI Punjab,Rajasthan Royals,166,168,8,4,0,6,334,12,2,1
335988,2008-04-22,2007,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,9 wickets,,Deccan Chargers,Delhi Daredevils,142,143,8,1,0,9,285,9,1,0
335989,2008-04-23,2007,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,6 runs,,Chennai Super Kings,Mumbai Indians,208,202,5,7,6,0,410,12,6,3
335990,2008-04-24,2007,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,3 wickets,,Deccan Chargers,Rajasthan Royals,214,217,5,7,0,3,431,12,3,3
335991,2008-04-25,2007,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,66 runs,,Kings XI Punjab,Mumbai Indians,182,116,10,9,66,0,298,19,66,2
335992,2008-04-26,2007,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,7 wickets,,Royal Challengers Bangalore,Rajasthan Royals,135,138,8,3,0,7,273,11,3,0
335993,2008-04-26,2007,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,9 wickets,,Kolkata Knight Riders,Chennai Super Kings,147,152,9,1,0,9,299,10,5,0
335994,2008-04-27,2007,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,10 wickets,,Mumbai Indians,Deccan Chargers,154,155,7,0,0,10,309,7,1,0
335995,2008-04-27,2007,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,4 wickets,,Delhi Daredevils,Kings XI Punjab,158,162,8,6,0,4,320,14,4,1
335996,2008-04-28,2007,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,13 runs,,Chennai Super Kings,Royal Challengers Bangalore,178,165,5,10,13,0,343,15,13,1
335997,2008-04-29,2007,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,7 wickets,,Kolkata Knight Riders,Mumbai Indians,137,138,8,3,0,7,275,11,1,0
335998,2008-04-30,2007,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,10 runs,,Delhi Daredevils,Royal Challengers Bangalore,191,181,5,5,10,0,372,10,10,3
335999,2008-05-01,2007,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,7 wickets,,Deccan Chargers,Kings XI Punjab,164,167,8,3,0,7,331,11,3,3
336000,2008-05-01,2007,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,45 runs,,Rajasthan Royals,Kolkata Knight Riders,196,151,7,10,45,0,347,17,45,1
336001,2008-05-02,2007,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,8 wickets,,Chennai Super Kings,Delhi Daredevils,169,172,6,2,0,8,341,8,3,3
336002,2008-05-25,2007,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore,5 wickets,,Deccan Chargers,Royal Challengers Bangalore,165,171,10,5,0,5,336,15,6,1
336003,2008-05-03,2007,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,9 runs,,Kings XI Punjab,Kolkata Knight Riders,178,169,6,6,9,0,347,12,9,3
336004,2008-05-04,2007,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,29 runs,,Mumbai Indians,Delhi Daredevils,162,133,8,10,29,0,295,18,29,1
336005,2008-05-04,2007,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,8 wickets,,Chennai Super Kings,Rajasthan Royals,109,110,10,2,0,8,219,12,1,0
336006,2008-05-05,2007,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,6 wickets,,Royal Challengers Bangalore,Kings XI Punjab,126,127,10,4,0,6,253,14,1,0
336007,2008-05-06,2007,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,7 wickets,,Chennai Super Kings,Deccan Chargers,144,148,7,3,0,7,292,10,4,0
336008,2008-05-07,2007,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,7 wickets,,Rajasthan Royals,Mumbai Indians,103,104,10,3,0,7,207,13,1,0
336009,2008-05-08,2007,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,4 wickets,,Delhi Daredevils,Chennai Super Kings,187,188,5,6,0,4,375,11,1,3
336010,2008-05-08,2007,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,5 runs,,Kolkata Knight Riders,Royal Challengers Bangalore,129,124,7,4,5,0,253,11,5,0
336011,2008-05-09,2007,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,8 wickets,,Deccan Chargers,Rajasthan Royals,140,141,8,2,0,8,281,10,1,0
336012,2008-05-28,2007,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,9 wickets,,Royal Challengers Bangalore,Mumbai Indians,122,126,9,1,0,9,248,10,4,0
336013,2008-05-10,2007,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings,18 runs,,Chennai Super Kings,Kings XI Punjab,181,163,4,9,18,0,344,13,18,1
336014,2008-05-11,2007,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,23 runs,,Kolkata Knight Riders,Deccan Chargers,204,181,4,7,23,0,385,11,23,3
336015,2008-05-11,2007,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,3 wickets,,Delhi Daredevils,Rajasthan Royals,156,159,7,7,0,3,315,14,3,1
336016,2008-05-12,2007,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,9 wickets,,Royal Challengers Bangalore,Kings XI Punjab,143,144,8,1,0,9,287,9,1,0
336017,2008-05-13,2007,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,23 runs,,Kolkata Knight Riders,Delhi Daredevils,133,110,6,10,23,0,243,16,23,1
336018,2008-05-14,2007,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,9 wickets,,Chennai Super Kings,Mumbai Indians,156,158,6,1,0,9,314,7,2,0
336019,2008-05-28,2007,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,41 runs,,Kings XI Punjab,Rajasthan Royals,221,180,3,7,41,0,401,10,41,3
336020,2008-05-15,2007,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils,12 runs,,Delhi Daredevils,Deccan Chargers,194,182,4,9,12,0,376,13,12,3
336021,2008-05-16,2007,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,8 wickets,,Kolkata Knight Riders,Mumbai Indians,67,68,10,2,0,8,135,12,1,0
336022,2008-05-17,2007,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,6 runs,,Delhi Daredevils,Kings XI Punjab,118,94,4,3,6,0,212,7,24,0
336023,2008-05-17,2007,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,65 runs,,Rajasthan Royals,Royal Challengers Bangalore,197,132,1,9,65,0,329,10,65,2
336024,2008-05-18,2007,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,25 runs,,Mumbai Indians,Deccan Chargers,178,153,7,7,25,0,331,14,25,1
336025,2008-05-18,2007,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings,3 runs,,Kolkata Knight Riders,Chennai Super Kings,149,55,5,0,3,0,204,5,94,2
336026,2008-05-19,2007,M Chinnaswamy Stadium,Delhi Daredevils,field,Delhi Daredevils,5 wickets,,Royal Challengers Bangalore,Delhi Daredevils,154,158,7,5,0,5,312,12,4,1
336027,2008-05-20,2007,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,6 wickets,,Kolkata Knight Riders,Rajasthan Royals,147,150,8,4,0,6,297,12,3,0
336028,2008-05-21,2007,Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,1 runs,,Kings XI Punjab,Mumbai Indians,189,188,4,10,1,0,377,14,1,3
336029,2008-05-21,2007,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14 runs,,Royal Challengers Bangalore,Chennai Super Kings,126,112,8,8,14,0,238,16,14,1
336031,2008-05-23,2007,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,6 wickets,,Deccan Chargers,Kings XI Punjab,175,178,4,4,0,6,353,8,3,3
336032,2008-05-24,2007,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,5 wickets,,Mumbai Indians,Delhi Daredevils,176,179,8,5,0,5,355,13,3,3
336033,2008-05-24,2007,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Rajasthan Royals,10 runs,,Rajasthan Royals,Chennai Super Kings,211,201,5,7,10,0,412,12,10,3
336034,2008-05-03,2007,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore,3 runs,,Royal Challengers Bangalore,Deccan Chargers,156,153,8,6,3,0,309,14,3,1
336035,2008-05-25,2007,Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,3 wickets,,Kings XI Punjab,Kolkata Knight Riders,174,175,6,7,0,3,349,13,1,1
336036,2008-05-26,2007,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,5 wickets,,Mumbai Indians,Rajasthan Royals,145,146,7,5,0,5,291,12,1,0
336037,2008-05-27,2007,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Chennai Super Kings,7 wickets,,Deccan Chargers,Chennai Super Kings,147,148,8,3,0,7,295,11,1,0
336038,2008-05-30,2007,Wankhede Stadium,Delhi Daredevils,field,Rajasthan Royals,105 runs,,Rajasthan Royals,Delhi Daredevils,192,87,9,10,105,0,279,19,105,2
336039,2008-05-31,2007,Wankhede Stadium,Kings XI Punjab,bat,Chennai Super Kings,9 wickets,,Kings XI Punjab,Chennai Super Kings,112,116,8,1,0,9,228,9,4,0
336040,2008-06-01,2007,Dr DY Patil Sports Academy,Rajasthan Royals,field,Rajasthan Royals,3 wickets,,Chennai Super Kings,Rajasthan Royals,163,164,5,7,0,3,327,12,1,1
392181,2009-04-18,2009,Newlands,Chennai Super Kings,field,Mumbai Indians,19 runs,,Mumbai Indians,Chennai Super Kings,165,146,7,7,19,0,311,14,19,1
392182,2009-04-18,2009,Newlands,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,75 runs,,Royal Challengers Bangalore,Rajasthan Royals,133,58,8,10,75,0,191,18,75,2
392183,2009-04-19,2009,Newlands,Delhi Daredevils,field,Delhi Daredevils,10 wickets,,Kings XI Punjab,Delhi Daredevils,104,58,7,0,0,10,162,7,46,0
392184,2009-04-19,2009,Newlands,Kolkata Knight Riders,bat,Deccan Chargers,8 wickets,,Kolkata Knight Riders,Deccan Chargers,101,104,10,2,0,8,205,12,3,0
392185,2009-04-20,2009,St George's Park,Chennai Super Kings,bat,Chennai Super Kings,92 runs,,Chennai Super Kings,Royal Challengers Bangalore,179,87,5,10,92,0,266,15,92,2
392186,2009-04-21,2009,Kingsmead,Kolkata Knight Riders,field,Kolkata Knight Riders,11 runs,,Kings XI Punjab,Kolkata Knight Riders,158,79,6,1,11,0,237,7,79,2
392188,2009-04-22,2009,Newlands,Deccan Chargers,bat,Deccan Chargers,24 runs,,Deccan Chargers,Royal Challengers Bangalore,184,160,6,8,24,0,344,14,24,1
392189,2009-04-23,2009,Kingsmead,Delhi Daredevils,bat,Delhi Daredevils,9 runs,,Delhi Daredevils,Chennai Super Kings,189,180,5,9,9,0,369,14,9,1
392190,2009-04-23,2009,Newlands,Kolkata Knight Riders,field,Unknown,,tie,Rajasthan Royals,Kolkata Knight Riders,150,150,6,8,0,0,300,14,0,1
392191,2009-04-24,2009,Kingsmead,Royal Challengers Bangalore,bat,Kings XI Punjab,7 wickets,,Royal Challengers Bangalore,Kings XI Punjab,168,173,9,3,0,7,341,12,5,3
392192,2009-04-25,2009,Kingsmead,Deccan Chargers,bat,Deccan Chargers,12 runs,,Deccan Chargers,Mumbai Indians,168,156,9,7,12,0,324,16,12,1
392194,2009-04-26,2009,St George's Park,Royal Challengers Bangalore,bat,Delhi Daredevils,6 wickets,,Royal Challengers Bangalore,Delhi Daredevils,149,150,7,4,0,6,299,11,1,0
392195,2009-04-26,2009,Newlands,Kings XI Punjab,bat,Kings XI Punjab,27 runs,,Kings XI Punjab,Rajasthan Royals,139,112,6,7,27,0,251,13,27,0
392196,2009-04-27,2009,Kingsmead,Deccan Chargers,field,Deccan Chargers,6 wickets,,Chennai Super Kings,Deccan Chargers,165,169,6,4,0,6,334,10,4,3
392197,2009-04-27,2009,St George's Park,Mumbai Indians,bat,Mumbai Indians,92 runs,,Mumbai Indians,Kolkata Knight Riders,187,95,6,9,92,0,282,15,92,2
392198,2009-04-28,2009,SuperSport Park,Delhi Daredevils,bat,Rajasthan Royals,5 wickets,,Delhi Daredevils,Rajasthan Royals,143,147,7,5,0,5,290,12,4,0
