match_id,date,season,venue,toss_winner,toss_decision,match_won_by,win_outcome,result_type,team1,team2,first_innings_runs,second_innings_runs,first_innings_wickets,second_innings_wickets,win_by_runs,win_by_wickets,rating_team1_pre,rating_team2_pre,win_prob_team1,team1_code,team2_code,venue_code,toss_winner_is_team1,toss_decision_code,target
335982,2008-04-18,2007,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,140 runs,,Kolkata Knight Riders,Royal Challengers Bangalore,222,82,3,10,140,0,1500.0,1500.0,0.5,8,16,4,0,0,1
335983,2008-04-19,2007,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,33 runs,,Chennai Super Kings,Kings XI Punjab,240,207,5,4,33,0,1500.0,1500.0,0.5,0,6,9,1,1,1
335984,2008-04-19,2007,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,9 wickets,,Rajasthan Royals,Delhi Daredevils,129,132,8,1,0,9,1500.0,1500.0,0.5,13,3,3,1,1,0
335985,2008-04-20,2007,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,5 wickets,,Mumbai Indians,Royal Challengers Bangalore,165,166,7,5,0,5,1500.0,1485.0,0.5215733330511455,10,16,14,1,1,0
335986,2008-04-20,2007,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,5 wickets,,Deccan Chargers,Kolkata Knight Riders,110,112,10,5,0,5,1500.0,1515.0,0.47842666694885455,1,8,2,1,1,0
335987,2008-04-21,2007,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,6 wickets,,Kings XI Punjab,Rajasthan Royals,166,168,8,4,0,6,1485.0,1485.0,0.5,6,13,11,1,1,0
335988,2008-04-22,2007,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,9 wickets,,Deccan Chargers,Delhi Daredevils,142,143,8,1,0,9,1485.6471999915343,1515.0,0.45785814099873384,1,3,10,1,1,0
335989,2008-04-23,2007,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,6 runs,,Chennai Super Kings,Mumbai Indians,208,202,5,7,6,0,1515.0,1484.3528000084657,0.5439908283804783,0,10,5,0,0,1
335990,2008-04-24,2007,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,3 wickets,,Deccan Chargers,Rajasthan Royals,214,217,5,7,0,3,1471.9114557615724,1500.0,0.4596651729067833,1,13,10,0,0,0
335991,2008-04-25,2007,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,66 runs,,Kings XI Punjab,Mumbai Indians,182,116,10,9,66,0,1470.0,1470.67252485988,0.499032160135646,6,10,9,0,0,1
